ID,year,category,film,nominee,won
485,1937,Dance Direction,The Great Ziegfeld,"""A Pretty Girl Is Like a Melody"" from ""The Great Ziegfeld""",1
486,1937,Dance Direction,Born to Dance,"""Swingin' the Jinx"" from ""Born to Dance""",0
487,1937,Dance Direction,Cain and Mabel,"""1000 Love Songs"" from ""Cain and Mabel""",0
488,1937,Dance Direction,Dancing Pirate,"""The Finale"" from ""Dancing Pirate""",0
489,1937,Dance Direction,Gold Diggers of 1937,"""Love and War"" from ""Gold Diggers of 1937""",0
490,1937,Dance Direction,One in a Million,"""Skating Ensemble"" from ""One in a Million""",0
491,1937,Dance Direction,Swing Time,"""Bojangles of Harlem"" from ""Swing Time""",0
492,1937,Directing,Mr. Deeds Goes to Town,Frank Capra,1
493,1937,Directing,Dodsworth,William Wyler,0
494,1937,Directing,My Man Godfrey,Gregory La Cava,0
495,1937,Directing,San Francisco,W. S. Van Dyke,0
496,1937,Directing,The Great Ziegfeld,Robert Z. Leonard,0
497,1937,Film Editing,Anthony Adverse,Ralph Dawson,1
498,1937,Film Editing,A Tale of Two Cities,Conrad A. Nervig,0
499,1937,Film Editing,Come and Get It,Edward Curtiss,0
500,1937,Film Editing,Lloyds of London,Barbara McLean,0
501,1937,Film Editing,The Great Ziegfeld,William S. Gray,0
502,1937,Film Editing,Theodora Goes Wild,Otto Meyer,0
503,1937,Music (Original Score),Anthony Adverse,"Warner Bros. Studio Music Department, Leo Forbstein, head of department (Score by Erich Wolfgang Korngold)",1
504,1937,Music (Original Score),The Charge of the Light Brigade,"Warner Bros. Studio Music Department, Leo Forbstein, head of department (Score by Max Steiner)",0
505,1937,Music (Original Score),The Garden of Allah,"Selznick International Pictures Music Department, Max Steiner, head of department (Score by Max Steiner)",0
506,1937,Music (Original Score),The General Died at Dawn,"Paramount Studio Music Department, Boris Morros, head of department (Score by Werner Janssen)",0
507,1937,Music (Original Score),Winterset,"RKO Radio Studio Music Department, Nathaniel Shilkret, head of department (Score by Nathaniel Shilkret)",0
508,1937,Music (Original Song),Swing Time,"The Way You Look Tonight in ""Swing Time"" Music by Jerome Kern; Lyrics by Dorothy Fields",1
509,1937,Music (Original Song),Born to Dance,"I've Got You Under My Skin in ""Born to Dance"" Music and Lyrics by Cole Porter",0
510,1937,Music (Original Song),Pennies from Heaven,"Pennies From Heaven in ""Pennies from Heaven"" Music by Arthur Johnston; Lyrics by Johnny Burke",0
511,1937,Music (Original Song),"Sing, Baby, Sing","When Did You Leave Heaven in ""Sing, Baby, Sing"" Music by Richard A. Whiting; Lyrics by Walter Bullock",0
512,1937,Music (Original Song),Suzy,"Did I Remember in ""Suzy"" Music by Walter Donaldson; Lyrics by Harold Adamson",0
513,1937,Music (Original Song),Trail of the Lonesome Pine,"A Melody From The Sky in ""Trail of the Lonesome Pine"" Music by Louis Alter; Lyrics by Sidney Mitchell",0
514,1937,Short Film,Bored of Education,"Hal Roach, Producer",1
515,1937,Short Film,Give Me Liberty,Warner Bros.,1
516,1937,Short Film,The Public Pays,Metro-Goldwyn-Mayer,1
517,1937,Short Film,Double or Nothing,Warner Bros.,0
518,1937,Short Film,Dummy Ache,RKO Radio,0
519,1937,Short Film,La Fiesta de Santa Barbara,"Lewis Lewyn, Producer",0
520,1937,Short Film,Moscow Moods,Paramount,0
521,1937,Short Film,Popular Science J-6-2,Paramount,0
522,1937,Short Film,"Wanted, a Master","Pete Smith, Producer",0
523,1937,Sound,San Francisco,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",1
524,1937,Sound,Banjo on My Knee,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",0
525,1937,Sound,Dodsworth,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",0
526,1937,Sound,General Spanky,"Hal Roach Studio Sound Department, Elmer A. Raguse, Sound Director",0
527,1937,Sound,Mr. Deeds Goes to Town,"Columbia Studio Sound Department, John Livadary, Sound Director",0
528,1937,Sound,That Girl from Paris,"RKO Radio Studio Sound Department, J. O. Aalberg, Sound Director",0
529,1937,Sound,The Charge of the Light Brigade,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",0
530,1937,Sound,The Texas Rangers,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",0
531,1937,Sound,Three Smart Girls,"Universal Studio Sound Department, Homer G. Tasker, Sound Director",0
532,1937,Special Award,The Garden of Allah,NA,1
533,1937,Writing,The Story of Louis Pasteur,"Pierre Collings, Sheridan Gibney",1
534,1937,Writing,After the Thin Man,"Frances Goodrich, Albert Hackett",0
535,1937,Writing,Dodsworth,Sidney Howard,0
536,1937,Writing,Mr. Deeds Goes to Town,Robert Riskin,0
537,1937,Writing,My Man Godfrey,"Eric Hatch, Morris Ryskind",0
538,1937,Writing (Original Screenplay),The Story of Louis Pasteur,"Pierre Collings, Sheridan Gibney",1
539,1937,Writing (Original Screenplay),Fury,Norman Krasna,0
540,1937,Writing (Original Screenplay),San Francisco,Robert Hopkins,0
541,1937,Writing (Original Screenplay),The Great Ziegfeld,William Anthony McGuire,0
542,1937,Writing (Original Screenplay),Three Smart Girls,Adele Comandini,0
543,1938,Actor in a Leading Role,Captains Courageous,Spencer Tracy,1
544,1938,Actor in a Leading Role,A Star Is Born,Fredric March,0
545,1938,Actor in a Leading Role,Conquest,Charles Boyer,0
546,1938,Actor in a Leading Role,Night Must Fall,Robert Montgomery,0
547,1938,Actor in a Leading Role,The Life of Emile Zola,Paul Muni,0
548,1938,Actor in a Supporting Role,The Life of Emile Zola,Joseph Schildkraut,1
549,1938,Actor in a Supporting Role,Lost Horizon,H. B. Warner,0
550,1938,Actor in a Supporting Role,The Awful Truth,Ralph Bellamy,0
551,1938,Actor in a Supporting Role,The Hurricane,Thomas Mitchell,0
552,1938,Actor in a Supporting Role,Topper,Roland Young,0
553,1938,Actress in a Leading Role,The Good Earth,Luise Rainer,1
554,1938,Actress in a Leading Role,A Star Is Born,Janet Gaynor,0
555,1938,Actress in a Leading Role,Camille,Greta Garbo,0
556,1938,Actress in a Leading Role,Stella Dallas,Barbara Stanwyck,0
557,1938,Actress in a Leading Role,The Awful Truth,Irene Dunne,0
558,1938,Actress in a Supporting Role,In Old Chicago,Alice Brady,1
559,1938,Actress in a Supporting Role,Dead End,Claire Trevor,0
560,1938,Actress in a Supporting Role,Night Must Fall,Dame May Whitty,0
561,1938,Actress in a Supporting Role,Stage Door,Andrea Leeds,0
562,1938,Actress in a Supporting Role,Stella Dallas,Anne Shirley,0
563,1938,Animated Short Film,The Old Mill,"Walt Disney, Producer",1
564,1938,Animated Short Film,Educated Fish,Paramount,0
565,1938,Animated Short Film,The Little Match Girl,"Charles Mintz, Producer",0
566,1938,Art Direction,Lost Horizon,Stephen Goosson,1
567,1938,Art Direction,A Damsel in Distress,Carroll Clark,0
568,1938,Art Direction,Conquest,"Cedric Gibbons, William Horning",0
569,1938,Art Direction,Dead End,Richard Day,0
570,1938,Art Direction,Every Day's a Holiday,Wiard Ihnen,0
571,1938,Art Direction,Manhattan Merry-Go-Round,John Victor Mackay,0
572,1938,Art Direction,Souls at Sea,"Hans Dreier, Roland Anderson",0
573,1938,Art Direction,The Life of Emile Zola,Anton Grot,0
574,1938,Art Direction,The Prisoner of Zenda,Lyle Wheeler,0
575,1938,Art Direction,Walter Wanger's Vogues of 1938,Alexander Toluboff,0
576,1938,Art Direction,Wee Willie Winkie,"William S. Darling, David Hall",0
577,1938,Art Direction,You're a Sweetheart,Jack Otterson,0
578,1938,Assistant Director,In Old Chicago,Robert Webb,1
579,1938,Assistant Director,A Star Is Born,Eric Stacey,0
580,1938,Assistant Director,Lost Horizon,"C. C. Coleman, Jr.",0
581,1938,Assistant Director,Souls at Sea,Hal Walker,0
582,1938,Assistant Director,The Life of Emile Zola,Russ Saunders,0
583,1938,Best Picture,The Life of Emile Zola,Warner Bros.,1
584,1938,Best Picture,A Star Is Born,Selznick International Pictures,0
585,1938,Best Picture,Captains Courageous,Metro-Goldwyn-Mayer,0
586,1938,Best Picture,Dead End,Samuel Goldwyn Productions,0
587,1938,Best Picture,In Old Chicago,20th Century-Fox,0
588,1938,Best Picture,Lost Horizon,Columbia,0
589,1938,Best Picture,One Hundred Men and a Girl,Universal,0
590,1938,Best Picture,Stage Door,RKO Radio,0
591,1938,Best Picture,The Awful Truth,Columbia,0
592,1938,Best Picture,The Good Earth,Metro-Goldwyn-Mayer,0
593,1938,Cinematography,The Good Earth,Karl Freund,1
594,1938,Cinematography,Dead End,Gregg Toland,0
595,1938,Cinematography,Wings over Honolulu,Joseph Valentine,0
596,1938,Dance Direction,A Damsel in Distress,"""Fun House"" from ""A Damsel in Distress""",1
597,1938,Dance Direction,A Day at the Races,"""All God's Children Got Rhythm"" from ""A Day at the Races""",0
598,1938,Dance Direction,Ali Baba Goes to Town,"""Swing Is Here to Stay"" from ""Ali Baba Goes to Town""",0
599,1938,Dance Direction,"Ready, Willing and Able","""Too Marvelous for Words"" from ""Ready, Willing and Able""",0
600,1938,Dance Direction,Thin Ice,"""Prince Igor Suite"" from ""Thin Ice""",0
601,1938,Dance Direction,Varsity Show,"""The Finale"" from ""Varsity Show""",0
602,1938,Dance Direction,Waikiki Wedding,"""Luau"" from ""Waikiki Wedding""",0
603,1938,Directing,The Awful Truth,Leo McCarey,1
604,1938,Directing,A Star Is Born,William Wellman,0
605,1938,Directing,Stage Door,Gregory La Cava,0
606,1938,Directing,The Good Earth,Sidney Franklin,0
607,1938,Directing,The Life of Emile Zola,William Dieterle,0
608,1938,Film Editing,Lost Horizon,"Gene Havlick, Gene Milford",1
609,1938,Film Editing,Captains Courageous,Elmo Veron,0
610,1938,Film Editing,One Hundred Men and a Girl,Bernard W. Burton,0
611,1938,Film Editing,The Awful Truth,Al Clark,0
612,1938,Film Editing,The Good Earth,Basil Wrangell,0
613,1938,Irving G. Thalberg Memorial Award,NA,Darryl F. Zanuck,1
614,1938,Music (Original Score),One Hundred Men and a Girl,"Universal Studio Music Department, Charles Previn, head of department (no composer credit)",1
615,1938,Music (Original Score),In Old Chicago,"20th Century-Fox Studio Music Department, Louis Silvers, head of department (no composer credit)",0
616,1938,Music (Original Score),Lost Horizon,"Columbia Studio Music Department, Morris Stoloff, head of department (Score by Dimitri Tiomkin)",0
617,1938,Music (Original Score),Make a Wish,"Principal Productions, Dr. Hugo Riesenfeld, musical director (Score by Dr. Hugo Riesenfeld)",0
618,1938,Music (Original Score),Maytime,"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department (Score by Herbert Stothart)",0
619,1938,Music (Original Score),Portia on Trial,"Republic Studio Music Department, Alberto Colombo, head of department (Score by Alberto Colombo)",0
620,1938,Music (Original Score),Quality Street,"RKO Radio Studio Music Department, Roy Webb, musical director (Score by Roy Webb)",0
621,1938,Music (Original Score),Snow White and the Seven Dwarfs,"Walt Disney Studio Music Department, Leigh Harline, head of department (Score by Frank Churchill, Leigh Harline and Paul J. Smith)",0
622,1938,Music (Original Score),Something to Sing About,"Grand National Studio Music Department, C. Bakaleinikoff, musical director (Score by Victor Schertzinger)",0
623,1938,Music (Original Score),Souls at Sea,"Paramount Studio Music Department, Boris Morros, head of department (Score by W. Franke Harling and Milan Roder)",0
624,1938,Music (Original Score),The Hurricane,"Samuel Goldwyn Studio Music Department, Alfred Newman, head of department (Score by Alfred Newman)",0
625,1938,Music (Original Score),The Life of Emile Zola,"Warner Bros. Studio Music Department, Leo Forbstein, head of department (Score by Max Steiner)",0
626,1938,Music (Original Score),The Prisoner of Zenda,"Selznick International Pictures Music Department, Alfred Newman, musical director (Score by Alfred Newman)",0
627,1938,Music (Original Score),Way Out West,"Hal Roach Studio Music Department, Marvin Hatley, head of department (Score by Marvin Hatley)",0
628,1938,Music (Original Song),Waikiki Wedding,"Sweet Leilani in ""Waikiki Wedding"" Music and Lyrics by Harry Owens",1
629,1938,Music (Original Song),Artists and Models,"Whispers In The Dark in ""Artists and Models"" Music by Frederick Hollander; Lyrics by Leo Robin",0
